p,post1,post2,true_label,matched_rules,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero
32,"A great thank you to my best childhood friends for organising this heart-warming event.
Emily, Sandra and Beckie - you are the best! 
Lots of stories and pictures were shared and we all thoroughly enjoyed a crazy ride down memory lane. It was great to see you all and see how you all got on in your lives girls!
Can't wait to do this again next year!","A very Happy birthday to my bestie!!! Roy, I want you to know that you are the best thing that ever happened to me. I am so glad we met and I love you unconditionally. I hope you have the best day celebrating your 40th birthday and I'm so here for it. 
You have touched the lives of so many people including mine and we are forever grateful for your optimistic, caring, and kind personality, hope you'll never change!
",Moderate,"['IF a person writes about recent enjoyable social experiences, THEN extraversion is likely High because this suggests a positive inclination towards social interaction.', 'IF a person expresses excitement in sharing plans and updates on social media, THEN extraversion is likely High because this shows a desire to connect and engage with others.', 'IF a person expresses enjoyment from spending time with others and suggests meeting again soon, THEN extraversion is likely High because this conveys eagerness for further social interaction.', 'IF a person uses upbeat language and punctuation to describe their social experiences, THEN extraversion is likely High because it reveals an energetic and enthusiastic approach to socialization.', 'IF a person demonstrates a laid-back attitude while hanging out with others and encourages new experiences, THEN extraversion is likely High because this shows comfort and enthusiasm in social situations.']","['A great thank you to my best childhood friends for organising this heart-warming event.', ""Can't wait to do this again next year!"", 'It was great to see you all and see how you all got on in your lives girls!', 'A very Happy birthday to my bestie!!! Roy, I want you to know that you are the best thing that ever happened to me.', 'I hope you have the best day celebrating your 40th birthday.']",High,High,"{'Positive Emotions': 1, 'Sociability': 3, 'Energy/Activity': 1}",0,0
29,"After all this time , the 5 of us still have our meet ups!  We just carry on chatting as though  we met yesterday and it's not just a yearly event. Great friends,  really lucky to be still in touch .
Luckily we're all in Good health... apart from a few old age creaks and cracks.
Already planned next year venue.","Well the next year is upon us! Yep you're having another birthday... watch out for an influx of children later , and be prepared for a lot of noise.
Just because you're a year older,  doesn't mean you can get a quiet life!
Glad you're my husband...
Happy birthday xxxx  and many more  to come xxxx",Moderate,"['IF a person writes about recent enjoyable social experiences, THEN extraversion is likely High because this suggests a positive inclination towards social interaction.', 'IF a person expresses enjoyment from spending time with others and suggests meeting again soon, THEN extraversion is likely High because this conveys eagerness for further social interaction.', 'IF a person shows enjoyment in cuddling their partner while also indicating being energized by friends, THEN extraversion is likely High because this reflects a balance of social and intimate interactions.', 'IF a person engages in reflection and reminiscing rather than being loud or overly excited, THEN extraversion is likely Low because this points to introverted behaviors.', 'IF a person references multiple social events in their posts, THEN extraversion is likely High because this suggests an enjoyment of varied social experiences.']","['After all this time, the 5 of us still have our meet ups! We just carry on chatting as though we met yesterday...', 'Already planned next year venue.', ""Glad you're my husband... Happy birthday xxxx"", ""Just because you're a year older, doesn't mean you can get a quiet life!"", 'watch out for an influx of children later, and be prepared for a lot of noise.']",High,High,"{'Positive Emotions': 1, 'Sociability': 2, 'Warmth': 1, 'Uncategorized': 1}",0,0
28,My oldest and dearest friends gathered at the weekend to celebrate 30 years since leaving school. Much laughing and getting over how much we had all aged. Looking back at our old school photos was hilarious. Some of us didn't even recognise ourselves. We had such a good time that we decided to make this an annual event ,The most important person in my life achieves a milestone birthday today. Congratulations on your 50th and may we share many more happy years together. Unfortunately it's all downhill from here. Buckle up for the coming mid life crisis and keep smiling. These can be the best years of life with the right attitude. Get writing that bucket list and let's see the world ticking them off.,Low,"['IF a person talks about being excited to share new plans and experiences, THEN extraversion is likely High because this reflects an eagerness to explore and connect with others.', 'IF a person writes about recent enjoyable social experiences, THEN extraversion is likely High because this suggests a positive inclination towards social interaction.', 'IF a person expresses enjoyment from spending time with others and suggests meeting again soon, THEN extraversion is likely High because this conveys eagerness for further social interaction.']","[""Get writing that bucket list and let's see the world ticking them off."", 'Much laughing and getting over how much we had all aged.', 'We had such a good time that we decided to make this an annual event.']",High,High,"{'Uncategorized': 1, 'Positive Emotions': 1, 'Sociability': 1}",0,0
42,Back together again after 35 years! Childhood friends from Newton in Warwickshire reliving our fond memories of all the adventures and special times we shared together. At this moment it doesn’t seem that 35 years have passed. Sadly a few people couldn’t make it today and they are missed. Looking forward already to our next get together.,Today’s your special birthday &lt;cough&gt; I hope that you enjoy all the things I have planned for you today. And the celebrations will continue long into the night with more birthday surprises. You deserve every single one of them! Thank you for all that you do and for being you! Let’s go and celebrate! Lots of love always xxxxxx,High,"['IF a person writes about recent enjoyable social experiences, THEN extraversion is likely High because this suggests a positive inclination towards social interaction.', 'IF a person finds excitement in catching up with others and plans future gatherings, THEN extraversion is likely High because this indicates ongoing social interest.', 'IF a person expresses enjoyment from spending time with others and suggests meeting again soon, THEN extraversion is likely High because this conveys eagerness for further social interaction.', 'IF a person expresses excitement in sharing plans and updates on social media, THEN extraversion is likely High because this shows a desire to connect and engage with others.', 'IF a person demonstrates a laid-back attitude while hanging out with others and encourages new experiences, THEN extraversion is likely High because this shows comfort and enthusiasm in social situations.']","['Back together again after 35 years! Childhood friends from Newton in Warwickshire reliving our fond memories.', 'Looking forward already to our next get together.', 'Looking forward already to our next get together.', 'And the celebrations will continue long into the night with more birthday surprises.', 'Let’s go and celebrate!']",High,High,"{'Positive Emotions': 1, 'Sociability': 4}",1,1
6,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,"['IF a person enjoys nights out with a group of people and posts about it, THEN extraversion is likely High because this reflects engagement in social activities.', 'IF a person writes about recent enjoyable social experiences, THEN extraversion is likely High because this suggests a positive inclination towards social interaction.', 'IF a person expresses enjoyment from spending time with others and suggests meeting again soon, THEN extraversion is likely High because this conveys eagerness for further social interaction.', 'IF a person expresses happiness in engaging with extroverted behaviors during social outings with friends, THEN extraversion is likely High because it indicates preference for social interaction.', 'IF a person uses upbeat language and punctuation to describe their social experiences, THEN extraversion is likely High because it reveals an energetic and enthusiastic approach to socialization.']","['today guys I have reunited with my childhood friends and I was so excited.', 'it was an amazing experience which I totally recommend if you can do it', 'the feeling of meeting someone you used to play with when you talked to them is unforgettable.', 'I was so excited.', 'I am so happy to see you growing up bit by bit.']",High,High,"{'Sociability': 2, 'Positive Emotions': 1, 'Uncategorized': 1, 'Energy/Activity': 1}",1,1
22,"It had been a long time coming, I met my childhood friends after nearly 10 years. We certainly had plenty of banter and catch up talk to go through. It is amazing how we have all gone down different routes yet have had similar childhood experiences. It was also interesting how our personality traits are still noticeable from all that time ago. ",Happy Birthday! Many happy returns and I hope you have a wonderful dream fulled day! Looking forward to going out to celebrate your Birthday. Hope you liked all your presents. I am sure it will be a day to remember with all the celebrations. Love you loads and wishing you all the best. ,Low,"['IF a person expresses enjoyment from spending time with others and suggests meeting again soon, THEN extraversion is likely High because this conveys eagerness for further social interaction.', 'IF a person engages in reflection and reminiscing rather than being loud or overly excited, THEN extraversion is likely Low because this points to introverted behaviors.', 'IF a person shows happiness in engaging with extroverted behaviors during social outings with friends, THEN extraversion is likely High because it indicates preference for social interaction.', 'IF a person writes about recent enjoyable social experiences, THEN extraversion is likely High because this suggests a positive inclination towards social interaction.']","['We certainly had plenty of banter and catch up talk to go through.', 'It is amazing how we have all gone down different routes yet have had similar childhood experiences.', 'Looking forward to going out to celebrate your Birthday.', 'I am sure it will be a day to remember with all the celebrations.']",High,High,"{'Sociability': 3, 'Positive Emotions': 1}",0,0
58,Was so great to see my childhood friends at the catch up recently.  So many old faces and memories.  It's so weird how everything has changed but also stayed the same at the same time.  Lucky to still have such a great group and a toast to those that couldn't be with us. Missed and not forgotten. xo ,Well another year older but no wiser just about sums it up!  Happiest of birthdays to my partner in crime! Expanding the birthday out over a whole weekend with drinks and dinner on our weekend getaway. Let's drink great wine and eat all the cake! London here we come. We love you xxx,Low,"['IF a person writes about recent enjoyable social experiences, THEN extraversion is likely High because this suggests a positive inclination towards social interaction.', 'IF a person expresses excitement in sharing plans and updates on social media, THEN extraversion is likely High because this shows a desire to connect and engage with others.', 'IF a person finds excitement in catching up with others and plans future gatherings, THEN extraversion is likely High because this indicates ongoing social interest.']","['Was so great to see my childhood friends at the catch up recently.', 'Expanding the birthday out over a whole weekend with drinks and dinner on our weekend getaway.', ""Let's drink great wine and eat all the cake! London here we come.""]",High,High,"{'Positive Emotions': 1, 'Sociability': 2}",0,0
43,"Good to finally get back together with the crew haha, been a long time coming but definitely worth the wait. All those memories, all the good times and the best part about it, we get to recreate those memories and relive them every time we talk about them. Good to see everytime. Until the next time!","Happy birthday to the most gorgeous girl i've ever laid eyes on in my entire life. I always felt as though i was missing something in life, and now that i've found you i finally feel whole. I hope you have the best day and i hope you get everything you want out of life. Love you. I'll be raising a glass today, To more happiness and more memories!",Low,"['IF a person enjoys nights out with a group of people and posts about it, THEN extraversion is likely High because this reflects engagement in social activities.', 'IF a person writes about recent enjoyable social experiences, THEN extraversion is likely High because this suggests a positive inclination towards social interaction.', 'IF a person expresses enjoyment from spending time with others and suggests meeting again soon, THEN extraversion is likely High because this conveys eagerness for further social interaction.', 'IF a person uses upbeat language and punctuation to describe their social experiences, THEN extraversion is likely High because it reveals an energetic and enthusiastic approach to socialization.', 'IF a person demonstrates a laid-back attitude while hanging out with others and encourages new experiences, THEN extraversion is likely High because this shows comfort and enthusiasm in social situations.']","['Good to finally get back together with the crew haha, been a long time coming but definitely worth the wait.', 'Good to see anytime. Until the next time!', 'Until the next time!', 'I hope you have the best day and I hope you get everything you want out of life.', ""I'll be raising a glass today, To more happiness and more memories!""]",High,High,"{'Sociability': 3, 'Positive Emotions': 1, 'Energy/Activity': 1}",0,0
60,"Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy. We all grew up together and went to the same little local school, it feels so long ago and we and the world around has changed so much, sometimes I think too much, and to able to get together and share all our memories is so comforting.","To my lovely and supportive partner, whose birthday it is today, I hope you have a lovely need and get everything you wish for, you certainly deserve it, you have been a wonderful partner to me and such a good father to our sons, where would we be without you, you always put us first and show us you care, it means the world to us to know we have your love and support.",Low,"['IF a person describes a quiet evening focused on food rather than social aspects, THEN extraversion is likely Low because this suggests a preference for solitary or limited social experiences.', 'IF a person appears reflective and introspective rather than focused on social aspects, THEN extraversion is likely Low because it indicates a tendency towards solitary contemplation.', 'IF a person expresses wanting to be cozy at home with a partner rather than seeking out social situations, THEN extraversion is likely Low because this indicates a preference for intimate and solitary settings.']","['Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy.', 'it feels so long ago and we and the world around has changed so much, sometimes I think too much.', 'you always put us first and show us you care, it means the world to us to know we have your love and support.']",Moderate,Low,{'Sociability': 3},1,1
9,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",Moderate,"['IF a person shows happiness in engaging with extroverted behaviors during social outings with friends, THEN extraversion is likely High because it indicates preference for social interaction.', 'IF a person expresses enjoyment from spending time with others and suggests meeting again soon, THEN extraversion is likely High because this conveys eagerness for further social interaction.', 'IF a person expresses excitement in sharing plans and updates on social media, THEN extraversion is likely High because this shows a desire to connect and engage with others.', 'IF a person demonstrates a laid-back attitude while hanging out with others and encourages new experiences, THEN extraversion is likely High because this shows comfort and enthusiasm in social situations.']","['It was so lovely to catch up with all of you.', ""Let me know when you're all back in town - we can hang out again."", 'I look forward to spending the next year with you.', 'I hope you had an amazing day with friends and family - and thank you for letting me share it with you.']",High,High,{'Sociability': 4},0,0
41,"So good to see these guys again, especially those I haven't seen for years. Brings me right back to the days of playing Minecraft together. Spent a great day in London together, going to a café and exploring all the places we used to go together, it was a really great day, and I'm definitely up to do it again.","Another year since birth for my favourite person on the planet, here's to many many many more together. I cannot express how much I love you, and I hope our day together lived up to that. We went to a really nice restaurant in town, which i would highly recommend everyone visits.",High,"['IF a person writes about recent enjoyable social experiences, THEN extraversion is likely High because this suggests a positive inclination towards social interaction.', 'IF a person expresses enjoyment from spending time with others and suggests meeting again soon, THEN extraversion is likely High because this conveys eagerness for further social interaction.', 'IF a person uses upbeat language and punctuation to describe their social experiences, THEN extraversion is likely High because it reveals an energetic and enthusiastic approach to socialization.', 'IF a person frequently discusses commitments to social events and relationships, THEN extraversion is likely High because this indicates an active social life.']","[""So good to see these guys again, especially those I haven't seen for years."", ""Spent a great day in London together... it was a really great day, and I'm definitely up to do it again."", ""here's to many many many more together."", 'We went to a really nice restaurant in town, which I would highly recommend everyone visits.']",High,High,"{'Positive Emotions': 1, 'Sociability': 2, 'Energy/Activity': 1}",1,1
18,"School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true. It was great to catch up with everyone again after so long. Let's not leave it so long next time. Here's to being not to old to dance the night away in true school disco style.","He has finally made it another year older. I don't know how he has reached this great milestone—happy Birthday to the three-score and ten-year-old man I love. It would not be your birthday without a post like this. Your turn next to embarrass me. Here to cake, fizz and a fun-filled day of surprises.",Low,"['IF a person enjoys nights out with a group of people and posts about it, THEN extraversion is likely High because this reflects engagement in social activities.', 'IF a person expresses excitement in sharing plans and updates on social media, THEN extraversion is likely High because this shows a desire to connect and engage with others.', 'IF a person expresses enjoyment from spending time with others and suggests meeting again soon, THEN extraversion is likely High because this conveys eagerness for further social interaction.', 'IF a person references multiple social events in their posts, THEN extraversion is likely High because this suggests an enjoyment of varied social experiences.']","['School reunion gathering, fun night with all. Lots of laughs and embarrassing stories.', ""Let's not leave it so long next time. Here's to being not too old to dance the night away."", 'It was great to catch up with everyone again after so long.', 'Here to cake, fizz and a fun-filled day of surprises.']",High,High,"{'Sociability': 3, 'Uncategorized': 1}",0,0
24,"Had the best time ca tching up with my chilidhood friends last night! It’s amazing how, despite t he years, we fall riight back into those silly jokes and shared memories. From playing games in the backyard to reminis cing about our wild adventures, it was a great reminder of the b onds that shaped us","Happy Birtihday to the love of my life! i’m so grateful for every moment we share together. You bring so mucih joy and laughter into my world. I can’t wait to celebrate you today and make more amazinng memories! Here’s to another year of love, adventure, and all your dreams coming true. You deserve the best!",High,"['IF a person writes about recent enjoyable social experiences, THEN extraversion is likely High because this suggests a positive inclination towards social interaction.', 'IF a person expresses excitement in sharing plans and updates on social media, THEN extraversion is likely High because this shows a desire to connect and engage with others.', 'IF a person demonstrates enjoyment from spending time with others and suggests meeting again soon, THEN extraversion is likely High because this conveys eagerness for further social interaction.', 'IF a person expresses enjoyment in cuddling their partner while also indicating being energized by friends, THEN extraversion is likely High because this reflects a balance of social and intimate interactions.']","['Had the best time catching up with my childhood friends last night!', 'I can’t wait to celebrate you today and make more amazing memories!', 'It’s amazing how, despite the years, we fall right back into those silly jokes and shared memories.', 'You bring so much joy and laughter into my world.']",High,High,"{'Positive Emotions': 1, 'Sociability': 1, 'Uncategorized': 2}",1,1
49,"Saw one of my very good friends today! It was quite nostalgic; all those laughter and stories we never get to tell anyone else. He began kidding around and it was like, no time had elapsed and we were back in our childhood or teenage years telling stories of the places we used to hang around. One thing I’ve always grown to appreciate is the ability of friends to know you when you were still young and still support you to date. Thank you to people like this and for creating so many more wonderful memories! Cheers to the uncovered moments.  #Tbt #blessedfriends ","It is another great day for the love of my life, Happy Birthday to you! Today i celebrate you. You always bring so much joy and happiness in to my life, not to mention the patient and constant support. Thanks for every day, all the fun we have, the trips we take, the moments that matters to each of us. Happy anniversary to us yet again, Cheers to many more impressive years together by our side. Happy birthday to you and lots of happiness that you will be showered with today! #BirthdayWishes #BirthdayBoy ",Moderate,"['IF a person appears reflective and introspective rather than focused on social aspects, THEN extraversion is likely Low because it indicates a tendency towards solitary contemplation.', 'IF a person describes social interactions with a lot of friends and enjoyment in meeting new people, THEN extraversion is likely High because this reflects a preference for diverse and interactive social experiences.', 'IF a person expresses wanting to be cozy at home with a partner rather than seeking out social situations, THEN extraversion is likely Low because this indicates a preference for intimate and solitary settings.']","['It was quite nostalgic; all those laughter and stories we never get to tell anyone else. He began kidding around and it was like, no time had elapsed.', 'Thank you to people like this and for creating so many more wonderful memories!', 'You always bring so much joy and happiness in to my life, not to mention the patient and constant support.']",High,Low,{'Sociability': 3},0,0
54,"so after an exciting wait - we finally all met up , Parsons meads Class of 1987. It had been a while and now we all had a few more wrinkles and grey hairs. The room was full of laughter and hugs and kisses as we all remembered the school days. we had a laugh and caught up with all the news about our families and planned the next catch up.
","So my darling hubbie, the big day has come - the big 50. Half a century , wow who would have thought it. We have know each other for 33 years of that time, where has it gone. A few more grey hairs and wrinkles between us but we have 2 lovely kids and a great family. Happy Birthday!",High,"['IF a person expresses enjoyment from spending time with others and suggests meeting again soon, THEN extraversion is likely High because this conveys eagerness for further social interaction.', 'IF a person describes recent enjoyable social experiences, THEN extraversion is likely High because this suggests a positive inclination towards social interaction.', 'IF a person expresses excitement in sharing plans and updates on social media, THEN extraversion is likely High because this shows a desire to connect and engage with others.', 'IF a person uses upbeat language and punctuation to describe their social experiences, THEN extraversion is likely High because it reveals an energetic and enthusiastic approach to socialization.']","['we had a laugh and caught up with all the news about our families and planned the next catch up.', 'The room was full of laughter and hugs and kisses as we all remembered the school days.', 'So my darling hubbie, the big day has come - the big 50.', 'So my darling hubbie, the big day has come - the big 50. Half a century, wow who would have thought it.']",High,High,"{'Sociability': 2, 'Uncategorized': 1, 'Energy/Activity': 1}",1,1
15,"Just got back from a reunion with some friends from back home! These guys always had my back, except when it comes to telling me I'm any good at bowling or mini golf :0 Then again, the drinks probably messed my aim up a litttle bit. Hope to see you guys soon!! Keep it real @xComedyCheesex @Crazygamer05 @7evenup","To this beautiful girl who was a stranger up until 10 months ago, happy birthday my love, I hope that we can spend many more together! P.S. Don't tell anyone I forgot the cake and had to ask you to bake us another one to save myself from the embarassment. Love you lots! Have the best birthday ever &lt;3",High,"['IF a person writes about recent enjoyable social experiences, THEN extraversion is likely High because this suggests a positive inclination towards social interaction.', 'IF a person finds excitement in catching up with others and plans future gatherings, THEN extraversion is likely High because this indicates ongoing social interest.', 'IF a person expresses enjoyment from spending time with others and suggests meeting again soon, THEN extraversion is likely High because this conveys eagerness for further social interaction.', 'IF a person uses upbeat language and punctuation to describe their social experiences, THEN extraversion is likely High because it reveals an energetic and enthusiastic approach to socialization.']","['Just got back from a reunion with some friends from back home!', 'Hope to see you guys soon!!', 'Hope to see you guys soon!!', ""P.S. Don't tell anyone I forgot the cake and had to ask you to bake us another one to save myself from the embarassment. Love you lots! Have the best birthday ever &lt;3""]",High,High,"{'Positive Emotions': 1, 'Sociability': 2, 'Energy/Activity': 1}",1,1
30,"What a weekend we have just had catching up with my childhood friends. The sun made a special appearance for us and it felt like the gods were looking out for us!

We ate, drank, laughed and shopped our hearts out.

Thank you for this special time together and can’t wait to do this again ????????","Happy birthday to you, my wonderful husband. Can’t wait to shower you with your gifts and take you out and celebrate you. We will go to your favourite restaurant ??

Congratulations ?? on this your special birthday ?? ?? let’s have lots of funnnnn!!

Love you very much, see you later my darling xxxxx",Low,"['IF a person writes about recent enjoyable social experiences, THEN extraversion is likely High because this suggests a positive inclination towards social interaction.', 'IF a person expresses enjoyment from spending time with others and suggests meeting again soon, THEN extraversion is likely High because this conveys eagerness for further social interaction.', 'IF a person expresses excitement in sharing plans and updates on social media, THEN extraversion is likely High because this shows a desire to connect and engage with others.', 'IF a person uses upbeat language and punctuation to describe their social experiences, THEN extraversion is likely High because it reveals an energetic and enthusiastic approach to socialization.']","['What a weekend we have just had catching up with my childhood friends.', 'Thank you for this special time together and can’t wait to do this again.', 'Can’t wait to shower you with your gifts and take you out and celebrate you.', 'let’s have lots of funnnnn!!']",High,High,"{'Positive Emotions': 1, 'Sociability': 2, 'Energy/Activity': 1}",0,0
40,had fun today! got to see my friends that i've grown up with. im grateful to go through life with them and to see them grow as people. every accomplishment i will be there for becauase i know they will be there for me. i am truly grateful to have such a strong group of people around me and to uplift me.,"happy birthday my love. i am so proud of you. you are my best friend, my ace, my rock. i love you more than every. you keep me on my feet and you never let my crown tip. even trhrough all the trials and tribulations. i am lucky to have someone like you in my corner. you never fail to make me happt",Moderate,"['IF a person expresses enjoyment from spending time with others and suggests meeting again soon, THEN extraversion is likely High because this conveys eagerness for further social interaction.', 'IF a person shows happiness in engaging with extroverted behaviors during social outings with friends, THEN extraversion is likely High because it indicates preference for social interaction.', 'IF a person expresses excitement in sharing plans and updates on social media, THEN extraversion is likely High because this shows a desire to connect and engage with others.', 'IF a person demonstrates a lack of excitement about socializing and expresses indifference towards it, THEN extraversion is likely Low because this signals a preference for solitude.', 'IF a person shows enjoyment in cuddling their partner while also indicating being energized by friends, THEN extraversion is likely High because this reflects a balance of social and intimate interactions.']","[""had fun today! got to see my friends that i've grown up with."", 'im grateful to go through life with them and to see them grow as people.', 'happy birthday my love. i am so proud of you.', 'you keep me on my feet and you never let my crown tip.', 'you are my best friend, my ace, my rock.']",High,High,"{'Sociability': 4, 'Warmth': 1}",0,0
1,OMG we went to the movie theater and watched a new movie and had fun there was a cute boy a few rolls up from us and we was throwing popcorn at him to get his attention he met us outside after the movies and we talked and exchanged phone numbers and we've been talking ever since me and my friends enjoyed this night,I just want to shout out happy birthday to my amazing husband he always does everything for us and gets up and goes to work and works hard everyday to provide everything that we need I just want to say I'm so grateful for him and everything he has done for me and our children and I will continue to be grateful everyday,High,"['IF a person enjoys nights out with a group of people and posts about it, THEN extraversion is likely High because this reflects engagement in social activities.', 'IF a person writes about recent enjoyable social experiences, THEN extraversion is likely High because this suggests a positive inclination towards social interaction.', 'IF a person demonstrates a laid-back attitude while hanging out with others and encourages new experiences, THEN extraversion is likely High because this shows comfort and enthusiasm in social situations.', 'IF a person expresses enjoyment from spending time with others and suggests meeting again soon, THEN extraversion is likely High because this conveys eagerness for further social interaction.']","['we went to the movie theater and watched a new movie and had fun', 'me and my friends enjoyed this night', 'we was throwing popcorn at him to get his attention', ""we talked and exchanged phone numbers and we've been talking ever since""]",High,High,"{'Sociability': 3, 'Positive Emotions': 1}",1,1
52,it been a long time and it has been so long we see each other since childhood i moved house and left my day ones and now it is an opportunity to meet with them again we have gone through high school and tertiary institution and everybody is happy seeing each other yeah everyone is happy to meet each other and so everyone is with their family. what a joy to meet again,happy birthday to the best friends i ever had today is a special day for you and i am happy and felicitate you on your day. long life and prosperity. what a wonderful day for you as you have been a wonderful friend it is a pleasure to share this day with you. may your heart be filled with joy and your face with smile and your day with happiness and your mind with peace,Low,"['IF a person expresses enjoyment from spending time with others and suggests meeting again soon, THEN extraversion is likely High because this conveys eagerness for further social interaction.', 'IF a person writes about recent enjoyable social experiences, THEN extraversion is likely High because this suggests a positive inclination towards social interaction.', 'IF a person expresses excitement in sharing plans and updates on social media, THEN extraversion is likely High because this shows a desire to connect and engage with others.', 'IF a person expresses enjoyment from spending time with others and suggests meeting again soon, THEN extraversion is likely High because this conveys eagerness for further social interaction.']","['""what a joy to meet again""', '""everybody is happy seeing each other""', '""happy birthday to the best friends i ever had today is a special day for you""', '""it is a pleasure to share this day with you""']",High,High,"{'Sociability': 3, 'Positive Emotions': 1}",0,0
